"Fact"	"Block"	"const"	"id"	"variable"	"value"	"id2"	"Block2"
"1"	"1"	"1"	"1"	"11"	"y1"	6	111	1
"2"	"1"	"2"	"1"	"12"	"y1"	4	121	1
"3"	"2"	"1"	"1"	"21"	"y1"	5	211	1
"4"	"2"	"2"	"1"	"22"	"y1"	6	221	2
"5"	"3"	"1"	"1"	"31"	"y1"	9	311	2
"6"	"3"	"2"	"1"	"32"	"y1"	3	321	2
"7"	"1"	"1"	"1"	"11"	"y2"	2	112	1
"8"	"1"	"2"	"1"	"12"	"y2"	3	122	1
"9"	"2"	"1"	"1"	"21"	"y2"	5	212	1
"10"	"2"	"2"	"1"	"22"	"y2"	1	222	2
"11"	"3"	"1"	"1"	"31"	"y2"	7	312	2
"12"	"3"	"2"	"1"	"32"	"y2"	8	322	2
"13"	"1"	"1"	"1"	"11"	"y3"	6	113	1
"14"	"1"	"2"	"1"	"12"	"y3"	4	123	1
"15"	"2"	"1"	"1"	"21"	"y3"	7	213	1
"16"	"2"	"2"	"1"	"22"	"y3"	3	223	2
"17"	"3"	"1"	"1"	"31"	"y3"	6	313	2
"18"	"3"	"2"	"1"	"32"	"y3"	7	323	2
"19"	"1"	"1"	"1"	"11"	"y4"	4	114	1
"20"	"1"	"2"	"1"	"12"	"y4"	6	124	1
"21"	"2"	"1"	"1"	"21"	"y4"	2	214	1
"22"	"2"	"2"	"1"	"22"	"y4"	4	224	2
"23"	"3"	"1"	"1"	"31"	"y4"	8	314	2
"24"	"3"	"2"	"1"	"32"	"y4"	9	324	2
