heart	time	A	B	ATP
1	0	1	1	85.51
1	1	1	1	74.56
1	2	1	1	84.25
1	3	1	1	84.05
1	4	1	1	78.41
1	5	1	1	79.93
1	6	1	1	71.6
1	8	1	1	69.9
1	10	1	1	63.52
1	12	1	1	57.14
2	0	1	1	76.54
2	1	1	1	72.77
2	2	1	1	86.93
2	3	1	1	61.47
2	4	1	1	88.08
2	5	1	1	64.15
2	6	1	1	63.27
2	8	1	1	57.89
2	10	1	1	53.02
2	12	1	1	26.47
3	0	1	1	66.03
3	1	1	1	66.67
3	2	1	1	77.57
3	3	1	1	73.12
3	4	1	1	47.5
3	5	1	1	77.69
3	6	1	1	64.38
3	8	1	1	48.06
3	10	1	1	49.52
3	12	1	1	52.18
4	0	1	1	75.6
4	1	1	1	80.72
4	2	1	1	71.99
4	3	1	1	77.32
4	4	1	1	87.01
4	5	1	1	73.25
4	6	1	1	74.84
4	8	1	1	75.95
4	10	1	1	51.44
4	12	1	1	51.36
5	0	1	1	82.64
5	1	1	1	82.46
5	2	1	1	83.16
5	3	1	1	76.45
5	4	1	1	79.3
5	5	1	1	81.38
5	6	1	1	70.66
5	8	1	1	59.37
5	10	1	1	42.16
5	12	1	1	43.99
6	0	1	1	78.5
6	1	1	1	60.54
6	2	1	1	71.94
6	3	1	1	77.5
6	4	1	1	76.28
6	5	1	1	57.84
6	6	1	1	41.54
6	8	1	1	36.06
6	10	1	1	30.77
6	12	1	1	29.46
7	0	1	2	85.12
7	1	1	2	79.61
7	2	1	2	79.58
7	3	1	2	73.09
7	4	1	2	78.78
7	5	1	2	71.9
7	6	1	2	71.86
7	8	1	2	46.02
7	10	1	2	53.02
7	12	1	2	56.34
8	0	1	2	79.69
8	1	1	2	71.96
8	2	1	2	79
8	3	1	2	77.14
8	4	1	2	66.32
8	5	1	2	74.65
8	6	1	2	42.68
8	8	1	2	51.68
8	10	1	2	31.37
8	12	1	2	23.39
9	0	1	2	88.82
9	1	1	2	85.6
9	2	1	2	85.48
9	3	1	2	84.29
9	4	1	2	70.02
9	5	1	2	68.99
9	6	1	2	50.89
9	8	1	2	33.47
9	10	1	2	24.03
9	12	1	2	25.83
10	0	1	2	84.45
10	1	1	2	86.67
10	2	1	2	84.9
10	3	1	2	86.04
10	4	1	2	82.09
10	5	1	2	77.78
10	6	1	2	71.29
10	8	1	2	53.31
10	10	1	2	47.79
10	12	1	2	39.92
11	0	1	2	82.61
11	1	1	2	82.44
11	2	1	2	84.74
11	3	1	2	79.35
11	4	1	2	78.65
11	5	1	2	65.97
11	6	1	2	69.93
11	8	1	2	53.63
11	10	1	2	62.2
11	12	1	2	51.05
12	0	2	1	84.74
12	1	2	1	82.98
12	2	2	1	76.48
12	3	2	1	77.86
12	4	2	1	66.26
12	5	2	1	77.31
12	6	2	1	79.1
12	8	2	1	68.05
12	10	2	1	49.03
12	12	2	1	58.91
13	0	2	1	83.03
13	1	2	1	81.62
13	2	2	1	79.81
13	3	2	1	74.95
13	4	2	1	77.4
13	5	2	1	70.38
13	6	2	1	77.35
13	8	2	1	74.8
13	10	2	1	62.88
13	12	2	1	62.4
14	0	2	1	82.09
14	1	2	1	82.95
14	2	2	1	70.79
14	3	2	1	69.16
14	4	2	1	74.36
14	5	2	1	74.63
14	6	2	1	65.44
14	8	2	1	61.04
14	10	2	1	77.1
14	12	2	1	60.17
15	0	2	1	80.37
15	1	2	1	85.51
15	2	2	1	81.3
15	3	2	1	77.19
15	4	2	1	70.59
15	5	2	1	76.01
15	6	2	1	56.26
15	8	2	1	65.58
15	10	2	1	56.38
15	12	2	1	58.29
16	0	2	1	85.44
16	1	2	1	85.88
16	2	2	1	80.8
16	3	2	1	76.01
16	4	2	1	80.63
16	5	2	1	70.94
16	6	2	1	60
16	8	2	1	71.68
16	10	2	1	54.66
16	12	2	1	52.22
17	0	2	1	77.67
17	1	2	1	87.34
17	2	2	1	80.99
17	3	2	1	75.78
17	4	2	1	82.16
17	5	2	1	71.5
17	6	2	1	67.62
17	8	2	1	72.36
17	10	2	1	66.9
17	12	2	1	48.96
18	0	2	2	84.32
18	1	2	2	80.24
18	2	2	2	73.75
18	3	2	2	77.31
18	4	2	2	68.65
18	5	2	2	72.23
18	6	2	2	67.34
18	8	2	2	70.52
18	10	2	2	62.34
18	12	2	2	71.58
19	0	2	2	81.97
19	1	2	2	79.86
19	2	2	2	81.61
19	3	2	2	80.06
19	4	2	2	79.65
19	5	2	2	67.04
19	6	2	2	68.26
19	8	2	2	64.12
19	10	2	2	47.32
19	12	2	2	43.6
20	0	2	2	84.73
20	1	2	2	80.64
20	2	2	2	79.41
20	3	2	2	65.07
20	4	2	2	81.33
20	5	2	2	65.11
20	6	2	2	59.42
20	8	2	2	54.9
20	10	2	2	57.12
20	12	2	2	56.44
21	0	2	2	81.76
21	1	2	2	84.96
21	2	2	2	84.59
21	3	2	2	79.73
21	4	2	2	66.88
21	5	2	2	56.38
21	6	2	2	71.67
21	8	2	2	68.88
21	10	2	2	58.93
21	12	2	2	63.06
22	0	2	2	81.25
22	1	2	2	79.68
22	2	2	2	58.59
22	3	2	2	66.91
22	4	2	2	52.67
22	5	2	2	54.94
22	6	2	2	42.46
22	8	2	2	22.53
22	10	2	2	42.52
22	12	2	2	46.3
23	0	2	2	80.06
23	1	2	2	86.24
23	2	2	2	76.26
23	3	2	2	83.8
23	4	2	2	67.27
23	5	2	2	53.84
23	6	2	2	44.4
23	8	2	2	59.44
23	10	2	2	58.74
23	12	2	2	28.14
