Treatment	Timepoint	Variety	Replication	vtrait1	vtrait2	vtrait3	vtrait4
I	T3	CamB1	R01	22.15	26.01	23.07	23.79
I	T3	Georgia	R01	23.83	22.72	26.44	26.38
I	T3	Harmal	R01	22.61	23.07	23.73	25.80
I	T3	Lubuski	R01	22.08	22.61	23.32	25.27
I	T3	Maresi	R01	22.21	24.27	22.90	24.27
I	T3	MDingo	R01	22.67	21.44	23.69	27.54
I	T3	Morex	R01	23.81	21.72	24.49	27.53
I	T3	Sebastian	R01	21.92	23.13	24.91	25.43
I	T3	Stratus	R01	21.33	23.72	23.92	25.40
I+II	T3	CamB1	R01	22.65	23.23	24.30	25.57
I+II	T3	Georgia	R01	22.65	23.23	24.30	25.57
I+II	T3	Harmal	R01	22.65	23.23	24.30	25.57
I+II	T3	Lubuski	R01	22.65	23.23	24.30	25.57
I+II	T3	Maresi	R01	22.65	23.23	24.30	25.57
I+II	T3	MDingo	R01	22.65	23.23	24.30	25.57
I+II	T3	Morex	R01	22.65	23.23	24.30	25.57
I+II	T3	Sebastian	R01	22.65	23.23	24.30	25.57
I+II	T3	Stratus	R01	22.65	23.23	24.30	25.57
II	T3	CamB1	R01	22.65	23.23	24.30	25.57
II	T3	Georgia	R01	22.65	23.23	24.30	25.57
II	T3	Harmal	R01	22.65	23.23	24.30	25.57
II	T3	Lubuski	R01	22.65	23.23	24.30	25.57
II	T3	Maresi	R01	22.65	23.23	24.30	25.57
II	T3	MDingo	R01	22.65	23.23	24.30	25.57
II	T3	Morex	R01	22.65	23.23	24.30	25.57
II	T3	Sebastian	R01	22.65	23.23	24.30	25.57
II	T3	Stratus	R01	22.65	23.23	24.30	25.57
K	T3	CamB1	R01	21.56	22.79	22.18	26.01
K	T3	Georgia	R01	23.88	20.91	24.48	28.32
K	T3	Harmal	R01	21.40	22.35	23.60	25.96
K	T3	Lubuski	R01	21.88	21.80	23.40	27.10
K	T3	Maresi	R01	21.58	23.08	23.70	26.53
K	T3	MDingo	R01	21.35	21.66	23.40	26.88
K	T3	Morex	R01	23.03	22.14	24.65	26.85
K	T3	Sebastian	R01	23.31	22.75	23.99	27.26
K	T3	Stratus	R01	23.54	22.13	23.81	26.13
