Treatment	Timepoint	Variety	Replication	vtrait1	vtrait2	vtrait3	vtrait4	vtrait5	vtrait6	vtrait7	vtrait8	vtrait9	vtrait10	vtrait11	vtrait12	vtrait13	vtrait14	vtrait15	vtrait16	vtrait17	vtrait18	vtrait19	vtrait20	vtrait21	vtrait22	vtrait23	vtrait24	vtrait25	vtrait26	vtrait27	vtrait28	vtrait29	vtrait30	vtrait31	vtrait32	vtrait33	vtrait34	vtrait35	vtrait36	vtrait37	vtrait38	vtrait39	vtrait40	vtrait41	vtrait42	vtrait43	vtrait44	vtrait45	vtrait46	vtrait47	vtrait48	vtrait49	vtrait50	vtrait51	vtrait52	vtrait53	vtrait54	vtrait55	vtrait56	vtrait57	vtrait58	vtrait59	vtrait60	vtrait61	vtrait62	vtrait63	vtrait64	vtrait65	vtrait66	vtrait67	vtrait68	vtrait69	vtrait70	vtrait71	vtrait72	vtrait73	vtrait74	vtrait75	vtrait76	vtrait77	vtrait78	vtrait79	vtrait80	vtrait81	vtrait82	vtrait83	vtrait84	vtrait85	vtrait86	vtrait87	vtrait88	vtrait89	vtrait90	vtrait91	vtrait92	vtrait93	vtrait94	vtrait95	vtrait96	vtrait97	vtrait98	vtrait99	vtrait100	vtrait101	vtrait102	vtrait103	vtrait104
I	T2	CamB1	R01	20,78	22,14	23,31	25,95	25,61	26,13	23,10	24,99	22,50	28,30	28,84	25,02	25,47	28,03	20,84	21,42	26,57	24,32	25,25	22,36	24,12	23,85	21,55	23,64	20,96	23,96	28,15	22,10	23,79	27,27	24,43	24,41	22,68	32,38	26,36	21,25	24,72	22,69	23,05	25,09	21,48	19,69	27,66	22,57	27,67	27,77	21,93	24,96	26,27	21,45	28,15	23,14	25,52	24,00	20,37	24,34	20,59	22,58	25,27	27,16	27,70	27,32	20,23	19,17	24,60	26,05	24,09	19,89	23,81	20,73	20,63	21,78	25,01	26,04	26,75	25,31	26,62	28,95	22,32	23,88	24,90	26,37	27,04	23,79	26,13	23,18	24,79	26,09	24,23	25,22	23,35	22,96	23,84	28,19	22,17	25,47	22,01	24,77	27,24	25,83	22,26	29,91	25,02	24,85
I	T2	CamB1	R02	23,49	27,10	22,72	24,98	27,16	26,51	24,78	22,15	26,01	27,30	30,06	22,87	23,18	26,20	23,25	25,46	25,41	22,93	25,68	24,37	23,68	27,34	23,03	32,09	23,63	25,13	28,74	21,39	21,80	27,90	30,12	24,23	25,82	31,27	25,03	26,23	26,87	21,58	22,87	24,82	21,77	20,38	28,79	20,87	27,58	29,27	26,44	24,58	25,48	20,43	27,11	23,66	25,78	23,09	21,71	24,23	20,27	20,07	26,26	25,65	26,10	26,34	24,73	21,72	26,71	26,40	23,81	19,67	22,27	20,52	19,49	21,29	25,74	25,05	25,84	24,82	24,89	25,15	21,02	22,93	22,09	25,28	26,96	22,81	26,14	20,80	23,81	25,55	23,16	24,82	22,85	22,69	23,83	28,18	22,43	25,42	23,17	24,61	27,31	26,70	21,10	28,89	23,95	23,90
I	T2	CamB1	R03	23,79	22,44	23,76	25,64	24,98	26,39	23,68	21,89	21,87	28,07	28,14	24,69	24,19	28,34	23,67	25,83	26,29	23,84	26,00	24,61	24,16	25,69	21,51	24,89	20,94	25,48	28,87	21,46	21,88	27,71	30,37	24,80	26,12	32,07	26,03	21,57	23,89	22,70	23,80	25,38	20,79	20,02	26,92	22,38	27,56	26,94	21,47	23,50	25,87	22,40	28,03	23,87	24,11	22,43	22,57	24,97	20,07	23,53	24,94	27,39	27,75	27,08	23,82	20,18	25,60	25,93	23,90	18,81	23,03	20,37	20,19	21,50	23,41	23,90	25,54	24,42	22,90	24,45	20,48	22,80	20,88	25,06	27,38	22,95	26,04	20,62	23,57	24,99	21,74	24,83	22,24	22,58	23,42	28,16	21,69	24,83	22,81	24,57	27,02	26,28	23,28	30,23	25,16	24,71
I	T2	CamB1	R04	22,65	23,23	24,30	25,57	23,85	25,60	24,56	23,17	22,89	27,17	25,95	25,09	24,69	27,00	24,01	25,37	24,35	23,37	23,45	24,70	23,51	26,64	21,86	24,87	22,16	24,25	28,12	22,21	22,31	28,08	28,91	24,98	25,71	30,96	26,29	22,69	24,98	22,17	22,05	25,11	21,63	20,90	25,31	21,10	27,95	27,07	22,54	24,33	25,07	21,05	27,44	24,45	25,19	23,66	20,89	23,75	20,54	21,31	23,84	23,92	26,43	26,14	22,09	19,48	26,50	25,76	23,73	20,42	22,31	21,37	21,38	22,96	24,68	24,34	26,24	23,86	24,46	27,85	21,88	23,00	23,85	25,76	25,21	23,04	23,26	21,60	24,27	26,00	22,93	25,02	22,61	22,88	23,87	28,62	22,54	25,16	22,31	24,26	27,09	25,94	21,60	28,36	23,61	23,86
I	T2	Georgia	R01	24,33	22,23	24,63	25,48	24,50	26,17	23,80	21,73	21,87	27,66	26,84	24,54	23,72	28,47	24,46	26,52	25,83	23,50	25,75	24,77	23,67	25,17	21,76	22,43	21,13	25,32	27,93	21,44	21,48	27,21	30,35	24,19	26,09	31,78	25,79	21,26	23,74	23,47	23,80	25,19	20,10	19,73	25,67	21,65	27,48	25,53	21,09	23,84	25,81	23,26	27,74	24,07	24,47	21,95	20,87	25,15	19,88	24,48	24,93	26,93	27,63	26,72	23,28	18,55	25,80	25,86	24,47	19,94	22,97	20,15	20,69	21,33	23,99	23,72	25,44	24,12	22,51	28,37	20,74	22,63	22,26	25,04	26,10	21,84	25,55	21,43	23,75	25,96	22,01	24,96	22,03	22,06	23,84	28,12	22,07	25,15	22,75	24,43	26,97	26,00	21,39	30,24	25,08	24,62
I	T2	Georgia	R02	20,87	22,36	24,86	25,95	24,51	26,49	23,28	24,46	22,32	28,22	24,73	24,94	25,56	28,88	21,62	22,17	26,49	24,36	24,30	22,58	23,36	26,02	21,48	21,77	21,54	23,57	27,77	22,67	24,07	27,86	24,42	24,05	23,08	32,31	26,22	21,22	24,07	22,62	23,87	25,84	20,59	20,77	23,63	22,29	28,12	26,90	22,20	25,23	26,57	22,96	28,34	23,71	24,95	23,94	22,28	25,13	20,77	24,30	24,95	27,43	28,36	27,26	21,42	18,58	24,06	26,25	23,05	20,25	21,71	21,04	21,32	22,26	24,07	25,76	26,17	25,35	25,68	27,70	21,52	24,04	24,04	26,11	28,21	23,61	27,52	22,71	24,48	26,23	23,35	25,63	22,94	22,44	23,89	28,72	23,24	25,56	22,70	25,35	27,42	25,87	22,16	30,13	24,62	25,18
I	T2	Georgia	R03	24,20	21,74	23,78	24,76	23,81	25,90	23,37	21,35	21,61	27,33	26,21	24,37	23,35	27,88	24,25	26,29	25,00	23,07	23,80	23,96	23,34	24,47	21,42	21,83	20,92	25,06	27,39	20,99	21,55	26,72	30,04	23,61	25,70	31,38	25,81	20,51	23,56	24,31	22,95	24,74	21,21	19,61	25,00	21,24	27,47	25,60	21,05	23,88	25,85	22,23	27,01	23,37	24,21	21,60	19,88	24,40	19,45	23,48	24,15	26,42	27,32	26,36	23,07	18,42	25,45	25,50	24,09	19,90	21,92	20,22	20,48	20,19	23,08	23,67	25,43	24,61	22,75	28,11	20,59	22,88	22,26	24,81	27,02	21,87	27,04	21,38	22,99	26,00	22,09	24,98	21,88	21,74	23,50	28,16	22,27	24,92	22,52	25,03	26,55	25,83	21,32	29,87	24,65	24,28
I	T2	Georgia	R04	22,65	23,23	24,30	25,57	23,85	25,60	24,56	23,17	22,89	27,17	25,95	25,09	24,69	27,00	24,01	25,37	24,35	23,37	23,45	24,70	23,51	26,64	21,86	24,87	22,16	24,25	28,12	22,21	22,31	28,08	28,91	24,98	25,71	30,96	26,29	22,69	24,98	22,17	22,05	25,11	21,63	20,90	25,31	21,10	27,95	27,07	22,54	24,33	25,07	21,05	27,44	24,45	25,19	23,66	20,89	23,75	20,54	21,31	23,84	23,92	26,43	26,14	22,09	19,48	26,50	25,76	23,73	20,42	22,31	21,37	21,38	22,96	24,68	24,34	26,24	23,86	24,46	27,85	21,88	23,00	23,85	25,76	25,21	23,04	23,26	21,60	24,27	26,00	22,93	25,02	22,61	22,88	23,87	28,62	22,54	25,16	22,31	24,26	27,09	25,94	21,60	28,36	23,61	23,86
I	T2	Harmal	R01	21,04	23,14	23,96	26,06	24,86	26,43	24,39	24,37	21,52	28,41	28,29	25,27	25,01	28,02	21,73	22,33	26,52	24,79	24,45	23,62	23,92	26,50	21,67	22,64	21,97	24,21	28,46	23,35	24,01	27,67	24,22	25,15	23,51	32,46	27,25	21,70	25,24	22,12	22,72	24,92	22,22	20,78	27,01	21,98	28,64	29,34	21,85	25,48	26,57	21,08	27,86	23,69	26,33	24,02	21,32	24,18	20,39	21,95	24,75	26,82	27,38	27,43	21,48	18,97	24,84	26,02	23,57	19,87	23,19	21,42	21,47	21,61	25,46	26,67	26,74	26,01	26,78	27,99	22,52	24,71	24,52	26,75	28,71	24,27	27,93	23,13	25,39	26,28	24,48	25,90	23,86	23,52	24,52	29,23	23,47	25,95	22,60	26,03	27,84	27,06	24,85	30,58	25,45	25,35
I	T2	Harmal	R02	21,32	22,67	24,69	25,89	24,13	26,01	24,66	25,01	21,65	28,34	26,89	25,11	25,56	28,08	21,61	21,58	26,56	24,65	24,95	23,50	23,89	26,87	21,52	22,56	21,32	24,10	28,27	24,00	23,42	28,08	26,04	25,22	23,93	32,44	26,84	21,19	24,37	22,32	23,35	24,91	21,59	20,19	25,59	22,12	27,94	28,56	21,15	25,06	26,35	21,70	27,90	24,39	25,88	24,06	23,16	24,56	19,92	23,13	24,55	26,47	27,27	27,38	21,38	19,18	24,87	26,19	24,04	19,31	22,66	20,81	19,84	22,51	24,56	25,95	26,07	26,03	25,86	27,98	21,62	23,96	23,83	26,54	28,03	23,69	28,25	22,61	24,50	25,39	23,12	25,11	23,59	23,40	24,00	28,58	23,16	25,49	22,25	26,35	27,27	26,33	24,26	30,20	25,23	24,99
