Robject;LMM;STATO_SIMPLE;STATO;STATO_full;comment
LMM;LinearMixedModel;stato:linear_mixed_model;obo:STATO_0000464;http://purl.obolibrary.org/obo/STATO_0000464#LinearMixedModel;not only linear!
Variable;variable;stato:variable;obo:STATO_0000258;http://purl.obolibrary.org/obo/STATO_0000258#Variable;
CategoricalVariable;categoricalVariable;stato:categorical_variable;obo:STATO_0000252;http://purl.obolibrary.org/obo/STATO_0000252#CategoricalVariable;
ModelTerm;modelTerm;xxx:model_term;obo:STATO_0000466;http://purl.obolibrary.org/obo/STATO_0000466#Model term;
FixedModelTerm;fixedModelTerm;xxx:model_fixed_effect_term;obo:STATO_0000468;http://purl.obolibrary.org/obo/STATO_0000468#Fixed model term;
RandomModelTerm;RandomModelTerm;xxx:model_random_effect_term;obo:STATO_0000467;http://purl.obolibrary.org/obo/STATO_0000467#Random model term;
ErrorModelTerm;ErrorModelTerm;xxx:model_error_effect_term;obo:STATO_0000470;http://purl.obolibrary.org/obo/STATO_0000470#Error model term;?
ModelParameter;ModelParameter;stato:model_parameter;obo:STATO_0000034;http://purl.obolibrary.org/obo/STATO_0000034#ModelParameter;
Effect;effect;lmm:effect;lmm:effect;http://igr.poznan.pl/lmm#effect;https://github.com/ISA-tools/stato/issues/75
Formula;formula;lmm:formula;lmm:formula;http://igr.poznan.pl/lmm#formula;https://github.com/ISA-tools/stato/issues/76
Estimate;estimate;stato:model_parameter_estimate;obo:STATO_0000144;http://purl.obolibrary.org/obo/STATO_0000144#ModelParameterEstimate;
Value;value;rdf:value;rdf:value;rdf:value;
se;se;stato:standard_error;obo:STATO_0000562;http://purl.obolibrary.org/obo/STATO_0000562#standardError;standard error of estimate
type;rdf:type;a;rdf:type;rdf:type;
label;rdfs:label;rdfs:label;rdfs:label;rdfs:label;
hasLevel_obsolete;hasLevel;stato:has_part;obo:BFO_0000051;http://purl.obolibrary.org/obo/BFO_0000051#hasPart;obo:BFO_0000051#hasPart
hasLevel;hasLevel;stato:has_value_specification;obo:OBI_0001938;http://purl.obolibrary.org/obo/OBI_0001938#hasValueSpecification;
isLevelOf_obsolete;isLevelOf;stato:is_part_of;obo:BFO_0000050;http://purl.obolibrary.org/obo/BFO_0000050#isPartOf;
isLevelOf;isLevelOf;stato:is_part_of;obo:BFO_0000050;http://purl.obolibrary.org/obo/BFO_0000050#isPartOf;
hasEffect;defines;stato:declares;obo:STATO_0000001;http://purl.obolibrary.org/obo/STATO_0000001#declares;
declares;defines;stato:declares;obo:STATO_0000001;http://purl.obolibrary.org/obo/STATO_0000001#declares;
isAbout;isAbout;ro:is_about;obo:IAO_0000136;http://purl.obolibrary.org/obo/IAO_0000136#isAbout;
hasPart;hasPart;stato:has_part;obo:BFO_0000051;http://purl.obolibrary.org/obo/BFO_0000051#hasPart;
hasTerm;hasPart;stato:has_part;obo:BFO_0000051;http://purl.obolibrary.org/obo/BFO_0000051#hasPart;
VariableLevel;VariableLevel;stato:factor_level;obo:STATO_0000265;http://purl.obolibrary.org/obo/STATO_0000265#FactorLevel;
isEstimateOf;isEstiamateOf;stato:estimator_of;obo:STATO_0000403;http://purl.obolibrary.org/obo/STATO_0000403#estimatorOf;
hypothesis;hypothesis;stato:hypothesis;obo:STATO_0000065;http://purl.obolibrary.org/obo/STATO_0000065#hypothesis;
Pvalue;p-value;stato:p-value;obo:OBI_0000175;http://purl.obolibrary.org/obo/OBI_0000175#p-value;
Qvalue;q-value;stato:q-value;obo:OBI_0001442;http://purl.obolibrary.org/obo/OBI_0001442#q-value;
nullHypothesis;nullHypothesis;stato:null_hypothesis;obo:STATO_0000057;http://purl.obolibrary.org/obo/STATO_0000057#null hypothesis;
specifiesValueOf;isValueOf;stato:specifies_value_of;obo:OBI_0001927;http://purl.obolibrary.org/obo/OBI_0001927#specifiesValueOf;
CovarianceStructure;CovarianceStructure;stato:covariance_structure;obo:STATO_0000346;http://purl.obolibrary.org/obo/STATO_0000346#CovarianceStructure;
CovIdentity;CovarianceStructureIdentity;stato:identity_covariance_structure;obo:STATO_0000588;http://purl.obolibrary.org/obo/STATO_0000588#ScaleIdentityCovarianceStructure;
critREML;;lmm:REML_criterion;lmm:REML_criterion;http://igr.poznan.pl/lmm#REML_criterion;
critAIC;;stato:AkaikeInformationCriterion;obo:STATO_0000325;http://purl.obolibrary.org/obo/STATO_0000325#AIC;
critBIC;;stato:BIC;obo:STATO_0000327;http://purl.obolibrary.org/obo/STATO_0000327#BIC;
