InfraspecificName	StudyStart	Replication	TGW	GW_m2	GW_MS	HD	main_spike	main_stem	G_MS	TL	Wvpd	Precipitation
GeH001	2012	1	59.07	665	0.96	45	8	50	16.2	29	6.27	271.6
GeH004	2012	1	56.85	1020	1.05	46	7.4	62	18.4	27	6.27	271.6
GeH042	2012	1	56.85	715	0.85	48	6.7	50	14.9	29	6.27	271.6
GeH042	2012	2	57.68	735	0.82	48	6.7	55	14.2	29	6.27	271.6
GeH042	2012	3	56.62	660	0.75	48	6.1	38	13.3	29	6.27	271.6
GeH043	2012	1	54.91	680	0.88	45	7.3	45	16.1	29	6.27	271.6
GeH043	2012	2	51.63	860	0.86	45	7.3	47	16.6	29	6.27	271.6
GeH043	2012	3	52.41	800	0.87	45	8	55	16.6	29	6.27	271.6
GeH045	2012	1	56.29	755	0.7	48	6.9	60	12.4	29	6.27	271.6
GeH045	2012	2	57.57	660	0.62	48	5.8	39	10.7	29	6.27	271.6
GeH045	2012	3	57.52	720	0.81	49	6.4	50	14.1	30	6.27	271.6
GeH046	2012	1	58.79	770	0.92	45	7.5	58	15.7	31	6.27	271.6
GeH004	2012	2	56.78	930	1.18	46	8.3	62	20.8	27	6.27	271.6
GeH046	2012	2	57.95	690	0.93	45	8.1	51	16.1	29	6.27	271.6
GeH046	2012	3	56.72	720	1	45	7	37	17.7	31	6.27	271.6
GeH047	2012	1	55.38	780	0.88	46	7	60	15.8	27	6.27	271.6
GeH047	2012	2	57.37	750	1.03	46	7.2	57	17.9	27	6.27	271.6
GeH047	2012	3	54.61	685	1.04	45	7	62	19.1	28	6.27	271.6
GeH049	2012	1	58.08	750	0.73	44	6.3	53	12.5	29	6.27	271.6
GeH049	2012	2	54.31	540	0.59	44	5.2	45	10.9	29	6.27	271.6
GeH049	2012	3	56.6	580	0.8	44	5.5	42	14.1	29	6.27	271.6
GeH052	2012	1	60.34	860	1.07	48	7.1	57	17.8	27	6.27	271.6
GeH052	2012	2	51.27	840	0.69	48	7	50	13.4	27	6.27	271.6
GeH004	2012	3	55.36	780	0.99	46	7.2	70	17.9	27	6.27	271.6
GeH052	2012	3	54.69	860	0.88	48	6.4	50	16	27	6.27	271.6
GeH053	2012	1	57.9	755	0.94	48	6.7	42	16.2	27	6.27	271.6
GeH053	2012	2	51.62	940	0.73	48	7.2	50	14.2	27	6.27	271.6
GeH053	2012	3	60.81	865	1.05	48	7.5	61	17.3	27	6.27	271.6
GeH055	2012	1	54.69	680	1.06	45	7.1	48	19.4	29	6.27	271.6
GeH055	2012	2	50.86	870	1.12	45	8.6	45	22	29	6.27	271.6
GeH055	2012	3	51.55	630	1.03	45	7.3	50	20	27	6.27	271.6
GeH056	2012	1	59.44	1020	1.17	46	8.1	70	19.7	27	6.27	271.6
GeH056	2012	2	57.57	980	1.02	46	8.1	70	17.7	27	6.27	271.6
GeH056	2012	3	60.51	860	1.18	46	8.6	60	19.5	28	6.27	271.6
GeH005	2012	1	52.99	890	0.89	48	6.8	58	16.7	29	6.27	271.6
GeH057	2012	1	55.56	640	0.9	45	7	62	16.2	29	6.27	271.6
GeH057	2012	2	55.27	640	0.91	45	7.2	48	16.5	29	6.27	271.6
GeH057	2012	3	56.39	480	1.02	45	7.7	56	18	29	6.27	271.6
GeH058	2012	1	55.06	525	0.94	45	7.8	44	17	27	6.27	271.6
GeH058	2012	2	57.84	680	1.1	45	7.9	50	19	27	6.27	271.6
GeH058	2012	3	55.2	525	0.96	45	7.2	47	17.3	27	6.27	271.6
GeH059	2012	1	57.5	630	1.01	45	7.2	50	17.6	29	6.27	271.6
GeH059	2012	2	54.27	905	0.97	45	7.3	52	17.8	29	6.27	271.6
GeH059	2012	3	54.78	730	1.1	45	7.6	50	20.1	29	6.27	271.6
GeH063	2012	1	62.72	615	1.22	44	8.4	58	19.5	29	6.27	271.6
GeH005	2012	2	54.01	870	0.88	48	6.9	48	16.2	29	6.27	271.6
GeH063	2012	2	62.17	560	1.09	44	7.9	50	17.5	29	6.27	271.6
GeH063	2012	3	59.84	875	1.14	44	7.7	67	19	29	6.27	271.6
GeH064	2012	1	56.52	680	0.75	44	7	50	13.2	27	6.27	271.6
GeH064	2012	2	54.14	545	0.69	44	6.2	45	12.8	27	6.27	271.6
GeH064	2012	3	56.38	750	0.92	44	6.7	52	16.3	27	6.27	271.6
GeH065	2012	1	56.89	710	1.02	46	7.6	50	18	29	6.27	271.6
GeH065	2012	2	58.03	645	1	46	7.4	46	17.3	29	6.27	271.6
GeH065	2012	3	52.69	850	0.9	46	7.9	50	17.1	28	6.27	271.6
GeH067	2012	1	52.73	640	0.97	44	7.9	64	18.3	27	6.27	271.6
GeH067	2012	2	53.85	810	0.94	44	7.3	56	17.4	27	6.27	271.6
GeH005	2012	3	52.54	715	0.97	48	7.8	60	18.5	29	6.27	271.6
GeH067	2012	3	55.56	700	0.99	44	7.6	55	17.8	27	6.27	271.6
GeH068	2012	1	55.3	650	1.11	46	7	55	20	27	6.27	271.6
GeH068	2012	2	52.15	890	1.34	46	9	65	25.6	26	6.27	271.6
GeH068	2012	3	50.13	775	1.16	45	7.6	57	23.1	27	6.27	271.6
GeH069	2012	1	51.36	765	0.9	48	6.1	43	17.6	31	6.27	271.6
