R_LABEL;LMM_ELEMENT_DESCRIPTION;ONTOLOGY_LABEL;ONTOLOGY_ID;ONTOLOGY_URI;COMMENT
type;is instance of class ;rdf:type;rdf:type;https://www.w3.org/1999/02/22-rdf-syntax-ns#type;
label;has readable label;rdfs:label;rdfs:label;https://www.w3.org/2000/01/rdf-schema#label;
description;description, unstructured charactrisation;dc:description;dc:description;http://purl.org/dc/elements/1.1/description;
creator;creator, author;dc:creator;dc:creator;http://purl.org/dc/elements/1.1/creator;
dataset;dataset;stato:dataset;obo:IAO_0000100;http://purl.obolibrary.org/obo/IAO_0000100#dataset;
variable;variable;stato:variable;obo:STATO_0000258;http://purl.obolibrary.org/obo/STATO_0000258#Variable;
dependentVariable;dependent variable;stato:study_design_dependent_variable;obo:OBI_0000751;http://purl.obolibrary.org/obo/OBI_0000751#studyDesignDependentVariable;
independentVariable;independent variable;stato:study_design_independent_variable;obo:OBI_0000750;http://purl.obolibrary.org/obo/OBI_0000750#studyDesignDependentVariable;
categoricalVariable;categorical variable, factor;stato:categorical_variable;obo:STATO_0000252;http://purl.obolibrary.org/obo/STATO_0000252#CategoricalVariable;
continuousVariable;continuous variable;stato:continuous_variable;obo:STATO_0000251;http://purl.obolibrary.org/obo/STATO_0000251#continuous_variable;
compoundVariable;coumpund variable, e.g. after vactorisation of other variables;lmm:compound_variable;lmm:compound_variable;http://purl.org/stato-lmm#compound_variable;
blockingVariable;blocking variable;stato:blocking_variable;obo:STATO_0000248;http://purl.obolibrary.org/obo/STATO_0000248#blocking_variable;
variableLevel;a level of variable;stato:factor_level;obo:STATO_0000265;http://purl.obolibrary.org/obo/STATO_0000265#FactorLevel;
hasLevel_obsolete;has level, has specific value;stato:has_part;obo:BFO_0000051;http://purl.obolibrary.org/obo/BFO_0000051#hasPart;
hasLevel;has level, has specific value;stato:has_value_specification;obo:OBI_0001938;http://purl.obolibrary.org/obo/OBI_0001938#hasValueSpecification;
isLevelOf_obsolete;is level of, is value of;stato:is_part_of;obo:BFO_0000050;http://purl.obolibrary.org/obo/BFO_0000050#isPartOf;
isLevelOf;is level of, is value of;stato:is_part_of;obo:BFO_0000050;http://purl.obolibrary.org/obo/BFO_0000050#isPartOf;
hasValueSpecification;;stato:has_value_specification;obo:OBI_0001938;http://purl.obolibrary.org/obo/OBI_0001938#has_value_specification;
specifiesValueOf;is value of (a variable);stato:specifies_value_of;obo:OBI_0001927;http://purl.obolibrary.org/obo/OBI_0001927#specifiesValueOf;
valueSpecification;value;stato:value_specification;obo:OBI_0001933;http://purl.obolibrary.org/obo/OBI_0001933#value_specification;
categoricalValueSpecification;categorical value;stato:categorical_value_specification;obo:OBI_0001930;http://purl.obolibrary.org/obo/OBI_0001930#categorical_value_specification;
LMM;lienar mixed model;stato:linear_mixed_model;obo:STATO_0000464;http://purl.obolibrary.org/obo/STATO_0000464#LinearMixedModel;
isModelFor;is model for;stato:is_model_for;<http://purl.obolibrary.org/obo/stato.owl#is_model_for> ;http://purl.obolibrary.org/obo/stato.owl#is_model_for;? Numerical URI
modelTerm;model term;stato:model_term;obo:STATO_0000466;http://purl.obolibrary.org/obo/STATO_0000466#Model term;
